Contratada;"Nº Processo";"Tipo de contrato";"Tipo de processo";"Data do Ateste";"Data do Pagamento";"Nº Empenho";"Tipo Rubrica";PTRES;"Nº Ordem Bancária";Justificativa;Tema;"IDN Nota Fiscal";"Nº Nota Fiscal";"Valor bruto da contratada";"Valor líquido da contratada";"Veículo / Fornecedor";"Valor bruto do fornecedor";"Valor líquido do fornecedor";"Nome fantasia do veículo";"Grupo / Editora";Meios;"Tipo da praça de veiculação";"Praças de Veiculação"
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.002358/2014-29;Publicidade;Midia;23/12/2014;30/12/2014;2013NE800004;Institucional;060132;14OB801440;;"Campanha de Oportunidade Institucional - 2013 II";230102;004858;208498,71;203741,65;"60.628.369/0001-75 / RADIO E TELEVISAO RECORD S.A";175577,86;158626,8;"REC    ";;Televisão;Regional;"BELO HORIZONTE - MG"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.002284/2014-21;Publicidade;Midia;11/12/2014;22/12/2014;2014NE800006;Institucional;060132;14OB801420;;"Comunicação Institucional 2014 - Prestação de Contas Regional I";233924;2807;10042,83;9813,69;"15.622.124/0001-86 / BAIANA COMUNICACOES EIRELI";8457,12;7657,92;"TV BAIANA";;Televisão;Regional;"SALVADOR - BA"
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.002315/2014-43;Publicidade;Midia;18/12/2014;22/12/2014;2013NE800004;Institucional;060132;14OB801425;;"SECA SEMIÁRIDO 2013 ¿ Ações e Obras";240358;8701;11330,01;11071,5;"10.305.548/0001-01 / SISTEMA TIMON DE RADIODIFUSAO LTDA";9541,06;8639,43;"MEIO NORTE";;Televisão;Estadual;PIAUI
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.002252/2014-25;Publicidade;Midia;11/12/2014;18/12/2014;2014NE800006;Institucional;060132;14OB801411;;"Comunicação Institucional 2014 - Prestação de Contas Regional I";239781;6904;5289,6;5168,91;"14.238.570/0001-29 / RADIO E TELEVISAO RIO NEGRO LTDA";4454,4;4033,46;BAND;;Televisão;Regional;"MANAUS - AM"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.002254/2014-14;Publicidade;Midia;11/12/2014;18/12/2014;2014NE800005;Institucional;060132;14OB801396;;"Campanha Copa 2014";239593;44180;8537,18;8342,4;"07.121.705/0001-06 / GAMECORP S.A.";7189,2;6509,82;"PLAY TV";;Televisão;Nacional;Brasil
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.002272/2014-04;Publicidade;Midia;11/12/2014;18/12/2014;2013NE800006;Institucional;060132;14OB801412;;"Campanha de Oportunidade Institucional - 2013 III";239930;6801;18536,95;18114,02;"02.131.538/0001-60 / TV OMEGA LTDA.";15610,06;13625,36;TV-SUDOESTE;;Televisão;Regional;"PATO BRANCO - PR"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.002273/2014-41;Publicidade;Midia;11/12/2014;18/12/2014;2014NE800006;Institucional;060132;14OB801413;;"Comunicação Institucional 2014 - Prestação de Contas Regional I";240033;7241;20614,81;20144,47;"05.354.891/0001-06 / FUNDACAO INTERNACIONAL DE COMUNICACAO - F. I. C.";17359,84;17359,84;"TV SUL BAHIA";;Televisão;Regional;"TEIXEIRA DE FREITAS - BA"
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.002250/2014-36;Publicidade;Midia;11/12/2014;17/12/2014;2014NE800004;Institucional;060132;14OB801378;;"Comunicação Institucional 2014 - Prestação de Contas Regional III";239710;8405;2645,98;2585,61;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";2228,19;2017,63;"SBT    ";;Televisão;Regional;"MARABA - PA"
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.002275/2014-30;Publicidade;Midia;11/12/2014;17/12/2014;2014NE800007;"Utilidade Pública";060133;14OB801381;;"Microempreendedores Individuais";238971;8037;1473966,38;1440325,92;"60.628.369/0001-75 / RADIO E TELEVISAO RECORD S.A";1241234,85;1123900,63;"REC    ";;Televisão;Nacional;Brasil
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.002278/2014-73;Publicidade;Midia;11/12/2014;17/12/2014;2013NE800004;Institucional;060132;14OB801382;;"Campanha de Oportunidade Institucional - 2013 II";226725;003990;45933,19;44885,19;"09.168.704/0002-23 / EMPRESA BRASIL DE COMUNICACAO S.A. - EBC";38680,58;35025,27;"TV BRASIL";;Televisão;Regional;"RIO DE JANEIRO - RJ"
