Contratada;"Nº Processo";"Tipo de contrato";"Tipo de processo";"Data do Ateste";"Data do Pagamento";"Nº Empenho";"Tipo Rubrica";PTRES;"Nº Ordem Bancária";Justificativa;Tema;"IDN Nota Fiscal";"Nº Nota Fiscal";"Valor bruto da contratada";"Valor líquido da contratada";"Veículo / Fornecedor";"Valor bruto do fornecedor";"Valor líquido do fornecedor";"Nome fantasia do veículo";"Grupo / Editora";Meios;"Tipo da praça de veiculação";"Praças de Veiculação"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003033/2015-44;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801334;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";253134;49598;2492,8;2435,92;"09.392.444/0001-94 / LUAU FREE EVENTOS E PRODUCOES LTDA - EPP";2099,2;2099,2;"LUAU TV";;Televisão;Regional;"NOVA FRIBURGO - RJ"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";251212;48646;3529,26;3448,74;"04.161.222/0001-47 / FUNDACAO CULTURAL SERRA AZUL ";2972,01;2972,01;"TV SERRA AZUL";;Televisão;Regional;"PORANGATU - GO"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252860;49445;4913,97;4801,86;"17.178.195/0055-50 / SOCIEDADE MINEIRA DE CULTURA";4138,08;4138,08;"TV HORIZONTE";;Televisão;Regional;"BELO HORIZONTE - MG"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252858;49444;7469,28;7298,86;"13.321.125/0001-65 / NOVIDADE TV LTDA. - ME";6289,92;6289,92;"NOVA TV";;Televisão;Regional;"NOVA FRIBURGO - RJ"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252856;49443;7182;7018,14;"86.628.492/0001-80 / DESIGN E IMAGEM COMUNICAÇAO  EMPRESARIAL LTDA - EPP";6048;6048;"CABO FRIO TV";;Televisão;Regional;"CABO FRIO - RJ"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252871;49452;2942,72;2875,58;"17.401.540/0001-80 / BH NEWS TV COMUNICACAO EIRELI-ME";2478,08;2478,08;"BH NEWS TV";;Televisão;Regional;"BELO HORIZONTE - MG"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252870;49451;2850;2784,97;"22.225.247/0001-49 / Fundação Rádio e Televisão Educativa de Uberlândia";2400;2400;"TV UNIVERSITARIA DE UBERLANDIA";;Televisão;Estadual;"MINAS GERAIS"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252869;49450;2992,5;2924,22;"04.687.533/0001-44 / FUNDACAO DOM BOSCO DE COMUNICACAO DE PONTE NOVA";2520;2520;"TV EDUCAR";;Televisão;Regional;"PONTE NOVA - MG"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252868;49449;2287,6;2235,41;"05.849.548/0001-24 / FUNDACAO CULTURAL GENIVAL TOURINHO";1926,4;1926,4;"TV GERAES";;Televisão;Regional;"MONTES CLAROS - MG"
"57.118.929/0002-18 / NOVA S/B COMUNICAÇÃO LTDA";00170.003034/2015-99;Publicidade;Midia;07/12/2015;24/12/2015;2015NE800012;Institucional;085460;15OB801335;;"CAMPANHA DE PRESTAÇÃO DE CONTAS REGIONAL 2015 - II";252867;49448;1995;1949,48;"11.069.944/0001-31 / NEVITON ELCIAS SILVEIRA MARCI - ME";1680;1680;"REDE PETROPOLIS";;Televisão;Regional;"PETROPOLIS - RJ"
