Contratada;"Nº Processo";"Tipo de contrato";"Tipo de processo";"Data do Ateste";"Data do Pagamento";"Nº Empenho";"Tipo Rubrica";PTRES;"Nº Ordem Bancária";Justificativa;Tema;"IDN Nota Fiscal";"Nº Nota Fiscal";"Valor bruto da contratada";"Valor líquido da contratada";"Veículo / Fornecedor";"Valor bruto do fornecedor";"Valor líquido do fornecedor";"Nome fantasia do veículo";"Grupo / Editora";Meios;"Tipo da praça de veiculação";"Praças de Veiculação"
"05.428.409/0003-99 / PROPEG COMUNICAÇÃO SA";00170.004854/2018-41;Publicidade;Midia;21/12/2018;28/12/2018;2017NE800013;Institucional;107783;2018OB802790;;"CAMPANHA REFORMA DA PREVIDÊNCIA - 2° FASE";282065;38073;5935,41;5799,99;"07.663.719/0001-51 / FUNDAÇAO DEMOCRITO ROCHA";4998,24;4998,24;"O POVO";"O POVO";Televisão;Regional;"FORTALEZA - CE"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004892/2018-01;Publicidade;Midia;19/12/2018;28/12/2018;2018NE800193;"Utilidade Pública";107784;2018OB802770;;"Campanha Queimadas - COMPLEMENTAR";300418;7920;475;464,16;"03.006.470/0001-50 / ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO NO DISTRITO FEDERAL - TV COMUNITARIA";400;400;"TV CIDADE LIVRE";;Televisão;Regional;"BRASILIA - DF"
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.004899/2018-15;Publicidade;Midia;19/12/2018;28/12/2018;2018NE800195;"Utilidade Pública";107784;2018OB802772;;"Enfrentamento à Violência Contra a Mulher";301674;34512;43462,5;42470,86;"59.016.873/0001-35 / FUNDACAO SECULO VINTE E UM";36600;36600;"SECULO XXI";;Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.004908/2018-78;Publicidade;Midia;19/12/2018;28/12/2018;2017NE800315;Institucional;107783;2018OB802773;;"CAMPANHA REFORMA DA PREVIDÊNCIA - 4ª FASE -COMPLEMENTAR";301586;34491;9597,61;9378,63;"09.168.704/0001-42 / EMPRESA BRASIL DE COMUNICACAO S.A. - EBC";8082,2;7318,43;"TV BRASIL";EBC;Televisão;Nacional;Brasil
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004916/2018-14;Publicidade;Midia;19/12/2018;28/12/2018;2018NE800222;"Utilidade Pública";109259;2018OB802774;;"PRF - ORIENTAÇÕES DE SEGURANÇA NAS RODOVIAS FEDERAIS II";301661;8416;29064,87;28401,73;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";24475,68;22162,73;SBT;SBT;Televisão;Regional;"SAO PAULO - SP"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004916/2018-14;Publicidade;Midia;19/12/2018;28/12/2018;2018NE800222;"Utilidade Pública";109259;2018OB802774;;"PRF - ORIENTAÇÕES DE SEGURANÇA NAS RODOVIAS FEDERAIS II";301668;8423;2199,2;2149,03;"60.628.369/0001-75 / RADIO E TELEVISAO RECORD S.A";1851,96;1676,95;"RECORD - SORRISO - SORRISO - MT";RECORD;Televisão;Regional;"SORRISO - MT"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004916/2018-14;Publicidade;Midia;19/12/2018;28/12/2018;2018NE800222;"Utilidade Pública";109259;2018OB802774;;"PRF - ORIENTAÇÕES DE SEGURANÇA NAS RODOVIAS FEDERAIS II";301667;8422;35850,45;35032,5;"60.628.369/0001-75 / RADIO E TELEVISAO RECORD S.A";30189,87;27336,93;"RECORD - BELO HORIZONTE";RECORD;Televisão;Regional;"BELO HORIZONTE - MG"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004916/2018-14;Publicidade;Midia;19/12/2018;28/12/2018;2018NE800222;"Utilidade Pública";109259;2018OB802774;;"PRF - ORIENTAÇÕES DE SEGURANÇA NAS RODOVIAS FEDERAIS II";301662;8417;48268,17;47166,9;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";40646,88;36805,75;SBT;SBT;Televisão;Regional;"SAO PAULO - SP"
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.004936/2018-95;Publicidade;Midia;21/12/2018;28/12/2018;2017NE800173;Institucional;107783;2018OB802789;;"AVANÇAR - PARCERIAS II";288328;6634;18596,73;18168,87;"01.406.705/0001-76 / FUNDACAO CULTURAL E EDUCACIONAL DE ITAJAI ";15660,4;15660,4;TVBE;;Televisão;Regional;"ITAJAI - SC"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004956/2018-66;Publicidade;Midia;21/12/2018;28/12/2018;2018NE800190;Institucional;107783;2018OB802785;;"CAMPANHA DE PRESTAÇÃO DE CONTAS";301842;8499;26578,62;25501,31;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";22382;20266,9;SBT;SBT;Televisão;Regional;"BELEM - PA"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004956/2018-66;Publicidade;Midia;21/12/2018;28/12/2018;2018NE800190;Institucional;107783;2018OB802785;;"CAMPANHA DE PRESTAÇÃO DE CONTAS";301863;8509;52117,38;50928,28;"60.628.369/0001-75 / RADIO E TELEVISAO RECORD S.A";43888,32;39740,87;"RECORD - SÃO PAULO";RECORD;Televisão;Regional;"SAO PAULO - SP"
