Contratada;"Nº Processo";"Tipo de contrato";"Tipo de processo";"Data do Ateste";"Data do Pagamento";"Nº Empenho";"Tipo Rubrica";PTRES;"Nº Ordem Bancária";Justificativa;Tema;"IDN Nota Fiscal";"Nº Nota Fiscal";"Valor bruto da contratada";"Valor líquido da contratada";"Veículo / Fornecedor";"Valor bruto do fornecedor";"Valor líquido do fornecedor";"Nome fantasia do veículo";"Grupo / Editora";Meios;"Tipo da praça de veiculação";"Praças de Veiculação"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004076/2017-17;Publicidade;Midia;28/12/2017;29/12/2017;2017NE800246;Institucional;107783;2017OB801494;;AVANÇAR;279084;2300;633911,25;619448,07;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";533820;483374,01;"SBT    ";SBT;Televisão;Nacional;Brasil
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.004076/2017-17;Publicidade;Midia;28/12/2017;29/12/2017;2017NE800246;Institucional;107783;2017OB801494;;AVANÇAR;279085;2299;272014,26;265808,04;"60.509.239/0001-13 / RADIO E TELEVISAO BANDEIRANTES S.A.";229064,64;207418,03;BAND;BAND;Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.004078/2017-06;Publicidade;Midia;28/12/2017;29/12/2017;2017NE800247;Institucional;107783;2017OB801493;;"CAMPANHA REFORMA DA PREVIDÊNCIA - 4ª FASE";278568;28913;2284465;2232343,13;"27.865.757/0033-81 / GLOBO COMUNICACAO E PARTICIPACOES S/A";1923760;1741964,68;GLOBO;"TV GLOBO";Televisão;Nacional;Brasil
"33.673.286/0004-78 / ARTPLAN COMUNICAÇÃO S/A";00170.004078/2017-06;Publicidade;Midia;28/12/2017;29/12/2017;2017NE800247;Institucional;107783;2017OB801493;;"CAMPANHA REFORMA DA PREVIDÊNCIA - 4ª FASE";278465;29232;57888,06;56567,3;"27.865.757/0001-02 / GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A";48747,84;44141,17;GLOBONEWS;GLOBOSAT;Televisão;Nacional;Brasil
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.004033/2017-23;Publicidade;Midia;27/12/2017;28/12/2017;2017NE800173;Institucional;107783;2017OB801481;;"CAMPANHA REFORMA DA PREVIDÊNCIA - 4ª FASE";278253;3834;3027080;2958014,78;"27.865.757/0033-81 / GLOBO COMUNICACAO E PARTICIPACOES S/A";2549120;2308228,16;GLOBO;"TV GLOBO";Televisão;Nacional;Brasil
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.004007/2017-03;Publicidade;Midia;22/12/2017;26/12/2017;2017NE800176;"Utilidade Pública";107784;2017OB801477;;"CENSO AGROPECUÁRIO 2017";278251;3835;141715,4;138482,05;"60.628.369/0001-75 / RADIO E TELEVISAO RECORD S.A";119339,28;108061,72;RECORD;RECORD;Televisão;Nacional;Brasil
"05.411.322/0008-13 / PPR ¿ Profissionais de Publicidade Reunidos LTDA";00170.004007/2017-03;Publicidade;Midia;22/12/2017;26/12/2017;2017NE800176;"Utilidade Pública";107784;2017OB801477;;"CENSO AGROPECUÁRIO 2017";278266;3719;120836,2;118079,23;"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A";101756,8;92140,78;SBT;SBT;Televisão;Nacional;Brasil
"04.895.208/0004-10 / LEO BURNETT PUBLICIDADE LTDA";00170.003864/2017-88;Publicidade;Midia;15/12/2017;22/12/2017;2016NE800005;Institucional;107783;2017OB801446;;"Jogos Olímpicos e Paralímpicos Rio 2016 III";274353;20074;5326,08;5204,56;"23.089.402/0001-00 / NTV - Nossa TV";4485,12;4485,12;"NTV - NOSSA TV";;Televisão;Regional;"PATOS DE MINAS - MG"
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.003926/2017-51;Publicidade;Midia;19/12/2017;22/12/2017;2017NE800246;Institucional;107783;2017OB801441;;AVANÇAR;278542;2202;1468133,8;1434637,17;"27.865.757/0033-81 / GLOBO COMUNICACAO E PARTICIPACOES S/A";1236323,2;1119490,66;"GLO    ";"TV GLOBO";Televisão;Nacional;Brasil
"04.784.569/0002-27 / CALIA Y2 PROPAGANDA E MARKETING LTDA";00170.003926/2017-51;Publicidade;Midia;19/12/2017;22/12/2017;2017NE800246;Institucional;107783;2017OB801441;;AVANÇAR;278543;2203;2421664;2366411,82;"27.865.757/0033-81 / GLOBO COMUNICACAO E PARTICIPACOES S/A";2039296;1846582,53;"GLO    ";"TV GLOBO";Televisão;Nacional;Brasil
